Statistik från Skolverket, https://www.skolverket.se;;;;;;;;;;
;;;;;;;;;;
Grundskola - Slutbetyg årskurs 9, samtliga elever;;;;;;;;;;
Valt läsår: 2024/25;;;;;;;;;;
;;;;;;;;;;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Andel (%) elever som uppfyllt betygskriterierna i alla ämnen;Andel (%) elever behöriga till yrkesprog.;Genomsnittligt meritvärde (17 ämnen)
Stiftelsen The English School Gothenburg;66890810;Göteborg;1480;Enskild;Stiftelsen English School In Gothenburg;8551009148;48;95,8;~100;273,2
Sverigefinska skolan i Upplands Väsby;68403656;Upplands Väsby;0114;Enskild;Stiftelsen Språkskolan i Upplands Väsby;8160005966;12;91,7;100;273,1
Kunskapsskolan Uppsala;73947432;Uppsala;0380;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;131;93,9;~100;273
Rödabergsskolan;97686250;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;105;84,8;85,7;272,9
Helenelundsskolan;62862066;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;128;91,4;~100;272,6
Matteusskolan;16348406;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;43;83,7;~100;272,6
Akers Friskola;10715898;Österåker;0117;Enskild;Österåkers Friskola AB;5565895777;27;100;100;272,6
JENSEN grundskola Örebro;94248837;Örebro;1880;Enskild;Jensen Education College AB;5566358759;65;90,8;~100;272,2
Mälarhöjdens skola;46165232;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;135;93,3;~100;272,1
Sandvikens Internationella Montessoriskola;17233525;Sandviken;2181;Enskild;Sandvikens Friskola AB;5590474481;21;100;100;271,9
Mörbyskolan;97174070;Danderyd;0162;Kommunal;Danderyds kommun;2120000126;167;91;94;271,8
Fryxellska skolan;73093445;Västerås;1980;Enskild;Stiftelsen Fryx;8780016211;142;93,7;95,1;271,7
Kärralundsskolan F-9;14037390;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;81;91,4;~100;271,6
JENSEN grundskola Linköping;40898556;Linköping;0580;Enskild;Jensen Education College AB;5566358759;32;87,5;~100;271,6
Ljungenskolan;41197162;Vellinge;1233;Kommunal;Vellinge kommun;2120001033;67;98,5;100;271,5
Skolhagenskolan;69088221;Täby;0160;Kommunal;Täby kommun;2120000118;137;97,1;~100;271,4
Kulturama gr. Hammarby Sjöstad;23066257;Stockholm;0180;Enskild;Medborgarskolan Stockholmsregionen;8020060524;99;88,9;~100;271,2
Sveaskolan LIMHAMN;54725950;Malmö;1280;Enskild;Sveaskolan AB;5567282859;71;97,2;100;271
Tegelhagens skola;20253736;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;65;92,3;~100;271
Johan Skytteskolan;97683561;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;184;92,9;96,7;270,9
Rutsborgskolan;19570704;Lomma;1262;Kommunal;Lomma kommun;2120001066;94;96,8;~100;270,8
Freinetskolan i Lund;60492534;Lund;1281;Enskild;Freinetskolan i Lund,Ideell Förening;8450030203;23;87;~100;270,5
Ängsdals skolor AB;34314029;Malmö;1280;Enskild;Ängsdals skolor AB;5564800836;54;92,6;~100;270,5
Internationella Engelska Skolan Landskrona;21085818;Landskrona;1282;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;61;91,8;~100;270,4
Spånga grundskola;17640364;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;154;87;92,2;270,3
Pilängskolan;15610637;Lomma;1262;Kommunal;Lomma kommun;2120001066;167;93,4;~100;270,2
Internationella Engelska Skolan Örebro;23908629;Örebro;1880;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;124;91,1;~100;270,2
Noblaskolan Lindholmen;79866556;Göteborg;1480;Enskild;Vindseglet AB;5567572234;78;91;91;270,1
Internationella Engelska Skolan Kungsbacka;25278170;Kungsbacka;1384;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;82;91,5;~100;269,9
Kunskapsskolan Täby;25309669;Täby;0160;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;82;96,3;~100;269,9
Sofia skola;45436515;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;120;86,7;~100;269,8
Internationella Engelska Skolan Lund;63826797;Lund;1281;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;109;90,8;95,4;269,6
Montessori Bjerred;52025747;Lomma;1262;Enskild;Montessori-Bjerred Ekonomisk Förening;7696026983;20;80;~100;269,4
Malmö Idrottsgrundskola;71454628;Malmö;1280;Kommunal;Malmö kommun;2120001124;164;95,7;~100;269,4
Nya Elementar;83828066;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;176;89,8;94,3;269,1
Freinetskolan Kastanjen;29524966;Botkyrka;0127;Enskild;Freinetskolan Kastanjen Ekonomisk Förening;7696000590;17;88,2;100;268,8
Ekens skola;13301127;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;149;91,9;94;268,6
Internationella Engelska Skolan Årsta;35129114;Stockholm;0180;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;121;86,8;93,4;268,1
Rålambshovsskolan;61686233;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;176;88,1;95,5;268
Södertörns friskola;22019000;Huddinge;0126;Enskild;Södertörns Friskola Ekonomisk Förening;7696004238;128;89,8;93,8;267,9
Töjnaskolan;45882318;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;84;84,5;~100;267,8
Fridaskolan, Härryda;27274628;Härryda;1401;Enskild;Fridaskolorna AB;5564515988;73;93,2;~100;267,4
Gripsholmsskolan;65507647;Strängnäs;0486;Enskild;Gripsholmsskolan AB;5567335616;46;97,8;100;267,4
Engelska Skolan Novia;66455663;Stockholm;0180;Enskild;Engelska Skolor och Förskolor i Sverige AB;5565699302;16;75;~100;267,3
Tegelviken F-9;78673553;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;60;91,7;~100;267,1
Vibyskolan ekonomisk förening;15547680;Sollentuna;0163;Enskild;Vibyskolan Ekonomisk Förening;7696034201;30;100;100;267,1
Internationella Engelska Skolan Älvsjö;83584296;Stockholm;0180;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;123;85,4;91,1;266,9
Internationella Engelska Skolan Solna;12259212;Solna;0184;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;119;86,6;93,3;266,8
Vittra Frösunda;48760074;Solna;0184;Enskild;Vittraskolorna AB;5564586716;31;90,3;~100;266,8
Futuraskolan International Bergtorp;24142153;Täby;0160;Enskild;Futuraskolan AB;5566095047;135;88,1;96,3;266,7
Gottskär Grundskola;90784555;Kungsbacka;1384;Enskild;Gottskär Grundskola Ekonomisk förening;7696013361;23;100;100;266,6
Järnåkraskolan 4-9;39307298;Lund;1281;Kommunal;Lunds kommun;2120001132;125;88,8;95,2;266,6
Östra Skolan Dibber;40470449;Malmö;1280;Enskild;Östra Skolan AB;5568250632;46;89,1;~100;266,5
Vasaskolan;56168083;Göteborg;1480;Enskild;Stiftelsen för Kristna Skolor;8572027434;47;95,7;~100;266,3
Skarpängsskolan;83454509;Täby;0160;Kommunal;Täby kommun;2120000118;171;93,6;95,3;266,2
Entréskolan Stockholm;54847211;Stockholm;0180;Enskild;AmiSgo AB;5568148117;55;87,3;100;266
Kunskapsskolan Spånga;46796995;Stockholm;0180;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;126;91,3;100;266
Kunskapsskolan Uppsala Norra;73806643;Uppsala;0380;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;89;93,3;~100;265,9
Tångvallaskolan;58994715;Vellinge;1233;Kommunal;Vellinge kommun;2120001033;31;93,5;100;265,9
Brunnbyskolan;95113658;Höganäs;1284;Enskild;Brunnby Skola M-I Handelsbolag;9167744359;23;100;100;265,8
Ängdalaskolan;11885832;Vellinge;1233;Enskild;Ängdala Skolor AB;5565279931;57;98,2;~100;265,8
Eklidens skola;47243834;Nacka;0182;Kommunal;Nacka kommun;2120000167;291;88,7;96,2;265,7
Raoul Wallenbergskolan Bagartorp;13384795;Solna;0184;Enskild;Raoul Wallenbergskolorna AB;5566740113;127;91,3;~100;265,7
I Ur och Skur sk Skattkammarön;50770926;Norrköping;0581;Enskild;I Ur och Skur Skolan Skattkammarön Ek. För.;7696108104;12;91,7;~100;265,6
Häggvik- Skälbyskolan;85440729;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;59;89,8;~100;265,6
Södermalmsskolan;75614609;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;87;86,2;90,8;265,6
Katarinaskolan;71951060;Uppsala;0380;Enskild;Heliga Katarinas Skolstiftelse;8176030867;105;84,8;~100;265,3
Vallentuna Friskola;72378947;Vallentuna;0115;Enskild;Vallentuna Friskola AB;5565736187;51;82,4;~100;265,1
Noblaskolan Löddeköpinge;19504051;Kävlinge;1261;Enskild;AcadeMedia fria grundskolor AB;5569320699;52;92,3;~100;264,9
British Junior Secondary, Eskilstuna;50048111;Eskilstuna;0484;Enskild;British Schools AB;5567516389;104;82,7;~100;264,8
Europaskolan Rogge;31980822;Strängnäs;0486;Enskild;Europaskolan Utbildning AB;5567478416;85;91,8;~100;264,7
Noblaskolan Nya Hovås åk 6-9;21497343;Göteborg;1480;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;120;95,8;~100;264,6
JENSEN grundskola Bro-Mälarstrand;89851619;Upplands-Bro;0139;Enskild;Jensen Education College AB;5566358759;53;90,6;~100;264,5
Abrahamsbergsskolan;44673074;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;140;87,9;95;264,4
Bobergsskolan;62533129;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;83;92,8;~100;264,4
Vasa Real;52863414;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;232;87,5;91,4;264,4
Fiskebäcksskolan F-9;80408917;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;59;88,1;~100;264
Vittangi skola;76314428;Kiruna;2584;Kommunal;Kiruna kommun;2120002783;15;80;100;264
Noblaskolan Täby;23312767;Täby;0160;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;49;91,8;~100;263,9
Idunskolan Östra Stockholms Waldorfskola;44373961;Nacka;0182;Enskild;Idunstiftelsen för Waldorfpedagogik;8024782230;24;95,8;~100;263,8
Nyhemsskolan Varbergs Krist sk;74843338;Varberg;1383;Enskild;Nyhemsskolan-Varbergs Kristna Skola, ekonomisk förening;7696068431;19;84,2;~100;263,8
Sörgårdsskolan;53442807;Mölndal;1481;Kommunal;Mölndals kommun;2120001363;97;82,5;92,8;263,7
S:t Eriks Katolska Skola;94943347;Stockholm;0180;Enskild;Stiftelsen S:T Eriks Katolska Skola;8572015595;21;81;~100;263,6
Nytorpsskolan;36262199;Salem;0128;Kommunal;Salems kommun;2120002874;24;87,5;~100;263,4
JENSEN grundskola Tungelsta;30255409;Haninge;0136;Enskild;Jensen Education College AB;5566358759;32;81,3;100;263,3
Internationella Engelska Skolan Bromma;90732940;Stockholm;0180;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;179;88,8;~100;263,3
Slättängsskolan H2;15700323;Kristianstad;1290;Kommunal;Kristianstads kommun;2120000951;38;100;100;263,2
Kronängsskolan;48724676;Vaxholm;0187;Kommunal;Vaxholms kommun;2120002908;152;93,4;~100;263,1
Kunskapsskolan Nacka;87425546;Nacka;0182;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;93;90,3;~100;262,9
Sverigefinska skolan, Botkyrka;57850353;Botkyrka;0127;Enskild;Sverigefinska Skolan i Botkyrka Aktiebolag;5565721247;11;90,9;~100;262,8
Malmö Montessoriskola;13299659;Malmö;1280;Enskild;Hemgårdar i Malmö, Föreningen;8460009460;29;89,7;~100;262,8
Katarina Norra skola;23617768;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;76;88,2;~100;262,8
Sandbergska skolan Upplands Väsby;97762139;Upplands Väsby;0114;Enskild;Skolalliansen i Sverige AB;5567497051;26;92,3;~100;262,8
Internationella Engelska Skolan Sundsvall;54802332;Sundsvall;2281;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;163;89,6;~100;262,7
Lovisedalsskolan;29278599;Vallentuna;0115;Kommunal;Vallentuna kommun;2120000027;48;89,6;~100;262,7
Hjärupslundsskolan;46191968;Staffanstorp;1230;Kommunal;Staffanstorps kommun;2120001017;135;85,2;93,3;262,4
Montessori Mondial Lidingö;37328635;Lidingö;0186;Enskild;International Montessori School Sweden AB;5567640205;20;95;100;262,3
JENSEN grundskola Norrköping;10435966;Norrköping;0581;Enskild;Jensen Education College AB;5566358759;61;88,5;~100;262,3
Ellen Key skolan;16394249;Stockholm;0180;Enskild;Stiftelsen Ellen Key Skolan;8152007970;20;85;~100;262,3
Pops Academy Karl Johan;28067210;Örebro;1880;Enskild;Pops Academy AB;5569583197;91;85,7;92,3;262,2
Näsbydalskolan;22807677;Täby;0160;Kommunal;Täby kommun;2120000118;104;81,7;93,3;262,1
Rydebäcksskolan;40385157;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;103;93,2;95,1;262
Östratornskolan;58622330;Lund;1281;Kommunal;Lunds kommun;2120001132;114;86,8;93,9;262
JENSEN grundskola Västerås;44284183;Västerås;1980;Enskild;Jensen Education College AB;5566358759;88;93,2;~100;262
Kunskapsskolan Enskede;16426165;Stockholm;0180;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;126;93,7;~100;261,8
Fridaskolan, Trollhättan;56884611;Trollhättan;1488;Enskild;Fridaskolorna AB;5564515988;75;94,7;~100;261,3
Framtidskompassen i Vellinge;15068529;Vellinge;1233;Enskild;Framtidskompassen AB;5567865943;45;97,8;~100;261,3
Karstorpskolan;92463760;Lomma;1262;Kommunal;Lomma kommun;2120001066;77;90,9;~100;261,2
Lerbäckskolan;90340546;Lund;1281;Kommunal;Lunds kommun;2120001132;90;86,7;~100;261,2
Rikstens skola;75580959;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;83;84,3;~100;261
Svaneskolan;67020135;Lund;1281;Kommunal;Lunds kommun;2120001132;126;85,7;90,5;261
Mariaskolan;69895255;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;89;88,8;~100;261
Runbackaskolan;15339442;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;62;85,5;~100;260,8
Södra Ängby skola;88795871;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;121;87,6;94,2;260,8
Potentia Education;15081255;Håbo;0305;Enskild;Potentia education AB;5567521553;29;100;100;260,4
Båtsmansskolan 7-9;37772170;Härryda;1401;Kommunal;Härryda kommun;2120001264;63;92,1;~100;260,3
Nordhemsskolan 1-9;19804936;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;208;88;93,3;260
Fornuddens skola;71078874;Tyresö;0138;Kommunal;Tyresö kommun;2120000092;104;79,8;95,2;260
Stavsborgsskolan;14040970;Nacka;0182;Kommunal;Nacka kommun;2120000167;130;81,5;91,5;259,9
Mikaelskolan;85777315;Sollentuna;0163;Enskild;Föreningen Mikaelskolan;8148008330;22;86,4;100;259,7
Saltsjöbadens samskola;11777750;Nacka;0182;Kommunal;Nacka kommun;2120000167;155;82,6;92,9;259,5
Internationella Engelska Skolan Trelleborg;44524062;Trelleborg;1287;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;29;75,9;~100;259,4
Byängsskolan;65839656;Täby;0160;Enskild;Byängsskolan AB;5567563316;80;87,5;87,5;259,4
Innovitaskolan Östersund;58922041;Östersund;2380;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;48;89,6;~100;259,4
Algebraskolan;40526633;Göteborg;1480;Enskild;Algebrautbildning Föreningen;8024730445;17;82,4;~100;259,3
Nordlyckeskolan 7-9;93002896;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;144;91,7;96,5;259,2
Träkvista skola;66475520;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;87;92;94,3;259
Ebba Petterssons Privatskola;88247874;Göteborg;1480;Enskild;Ebba Petterssons Privatskolas Stiftelse;8572022369;105;87,6;90,5;259
Kristinaskolan;46512685;Göteborg;1480;Enskild;Stiftelsen för Kristna Skolor i Angeredområdet;8572042193;24;79,2;100;259
Trångsundsskolan;42601396;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;78;76,9;83,3;259
Internationella Engelska Skolan Nacka;74358019;Nacka;0182;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;157;91,1;96,2;258,9
Futuraskolan International Hertig Karl;40467992;Sollentuna;0163;Enskild;Futuraskolan AB;5566095047;18;94,4;~100;258,9
Rudolf Steinerskolan Göteborg;42817980;Göteborg;1480;Enskild;Stiftelsen Rudolf Steinerskolan;8572019142;26;92,3;100;258,8
Hässleholms Montessoriskola F-9;28804882;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;30;93,3;100;258,8
Montessoriskolan Skäret;25894254;Göteborg;1480;Enskild;Skäret Skolkooperativ Ek.För.;7164452323;46;95,7;~100;258,6
Kristofferskolan, gr;98760751;Stockholm;0180;Enskild;Stiftelsen Kristofferskolan;8020018720;83;74,7;94;258,6
Casa Montessori;68358072;Partille;1402;Enskild;Montessoristiftelsen i Partille;8572054610;20;90;100;258,5
Internationella Engelska Skolan Tyresö;60904587;Tyresö;0138;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;149;83,2;87,9;258,5
Internationella Engelska Skolan Sigtuna;63592981;Sigtuna;0191;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;55;89,1;~100;258,4
Nya Läroverket;82183259;Luleå;2580;Enskild;Nya läroverket Luleå AB;5566677927;64;90,6;~100;258
Botkyrka Friskola F-9;80378022;Botkyrka;0127;Enskild;JPK Education AB;5564944063;31;71;~100;257,9
Internationella Engelska Skolan Helsingborg;82402144;Helsingborg;1283;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;68;83,8;~100;257,8
Kullaviksskolan 4-9A;10368319;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;74;89,2;91,9;257,8
Malmens friskola;37140962;Gällivare;2523;Enskild;Malmens Friskola AB;5565528022;22;90,9;100;257,6
Internationella Engelska Skolan Järfälla;79093755;Järfälla;0123;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;123;85,4;~100;257,6
Säbyholms Montessoriskola;42908219;Landskrona;1282;Enskild;Landskrona Montessoriförening Ek.Förening;7696002794;24;91,7;~100;257,5
Kronoberg Skola;44785862;Växjö;0780;Enskild;Nordic International School AB;5566102033;136;88,2;92,6;257,5
Nordic International School Karlstad;14290135;Karlstad;1780;Enskild;Nordic International School AB;5566102033;59;94,9;100;257,3
Karlskrona Montessorifriskola;67509465;Karlskrona;1080;Enskild;Karlskrona Montessorifriskola AB;5565030599;26;100;100;257,2
Myrsjöskolan;84884375;Nacka;0182;Kommunal;Nacka kommun;2120000167;232;85,3;90,9;257,2
Mimerskolan;10023937;Sundsvall;2281;Enskild;Föreningen Mimers Brunn;8892027965;59;91,5;~100;257,2
Vallatorpsskolan;57206066;Täby;0160;Kommunal;Täby kommun;2120000118;26;88,5;~100;257,2
Internationella Engelska Skolan Uppsala;83401016;Uppsala;0380;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;126;84,1;93,7;257,2
Ugglums skola 5-9;78100490;Partille;1402;Kommunal;Partille kommun;2120001272;54;87;~100;257,1
Kristna skolan;14472068;Stockholm;0180;Enskild;We Are One Church;8020033687;29;65,5;~100;257,1
Årstaskolan;48328583;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;117;78,6;88,9;257,1
Musikugglan;93919365;Karlskrona;1080;Enskild;Tant Grön AB;5564127099;52;98,1;100;257
Västbergaskolan;64736967;Stockholm;0180;Enskild;Västbergaskolan AB;5565977609;75;90,7;~100;257
Högalidsskolan;24716970;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;94;91,5;92,6;256,9
Skanörs skola;46945514;Vellinge;1233;Kommunal;Vellinge kommun;2120001033;37;94,6;~100;256,8
Käppala skola;20137688;Lidingö;0186;Kommunal;Lidingö kommun;2120000191;72;91,7;~100;256,7
Dibber International School Sollentuna;47462120;Sollentuna;0163;Enskild;Dibber Norrviken Skola AB;5567289391;52;69,2;~100;256,6
JENSEN grundskola Kvarnsjön;80731562;Botkyrka;0127;Enskild;Jensen Education College AB;5566358759;61;86,9;91,8;256,5
Kunskapsskolan Fruängen;63954028;Stockholm;0180;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;111;82,9;92,8;256,4
Sjöviksskolan;70592143;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;88;78,4;93,2;256,4
Martinaskolan;47927698;Göteborg;1480;Enskild;Waldorfföreningen, Martinaskolan, ekonomisk förening;7164449576;20;75;~100;256,3
Solängskolan;10757780;Örkelljunga;1257;Enskild;Kristna Skolföreningen i Örkelljunga;8376003672;23;78,3;100;256,2
Hallenskolan;32309720;Mölndal;1481;Kommunal;Mölndals kommun;2120001363;53;83;84,9;256,1
Önnerödsskolan 4-9;57457346;Härryda;1401;Kommunal;Härryda kommun;2120001264;76;90,8;93,4;256
Sandeplanskolan;71367825;Vellinge;1233;Kommunal;Vellinge kommun;2120001033;66;87,9;~100;256
Drakbergsskolan;60526603;Göteborg;1480;Enskild;Kannebäcks Friskoleförening;8572069568;25;92;100;255,9
Noblaskolan Kviberg;17517182;Göteborg;1480;Enskild;Vindseglet AB;5567572234;78;92,3;~100;255,9
Filosofiska;60308449;Stockholm;0180;Enskild;Filosofiska i Sverige AB (svb);5568674252;24;70,8;79,2;255,9
Strandskolan;87665835;Tyresö;0138;Kommunal;Tyresö kommun;2120000092;69;81,2;~100;255,9
Stockholm International Academy Häggvik;83735665;Sollentuna;0163;Enskild;Mubarak Utbildning AB;5568571748;38;84,2;~100;255,7
Montessoriskolan Casa;76938537;Göteborg;1480;Enskild;Stiftelsen Casa Dei Bambini;8520004261;30;76,7;~100;255,6
Montessoriskolan Floda säteri;82651095;Lerum;1441;Enskild;Montessoriskolan Floda Säteri;8635006680;28;92,9;~100;255,6
Böskolans friskola;83071620;Göteborg;1480;Enskild;Böskolans Friskola Ek.För.;7164451473;44;79,5;86,4;255,5
Hässelby Villastads skola;86597125;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;123;87,8;91,9;255,5
Internationella Engelska Skolan Upplands Väsby;24402537;Upplands Väsby;0114;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;64;78,1;79,7;255,5
Kunskapsskolan Västerås;30576881;Västerås;1980;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;110;87,3;94,5;255,5
Fröknegårdskolan H2;97438636;Kristianstad;1290;Kommunal;Kristianstads kommun;2120000951;22;81,8;~100;255,3
Ösbyskolan;88283203;Värmdö;0120;Kommunal;Värmdö kommun;2120000035;83;84,3;89,2;255,3
Vistaskolan;50783450;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;84;83,3;91,7;255,1
Lejonströmsskolan;53655678;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;96;90,6;92,7;255,1
Raoul Wallenbergskolan Bromma;50848996;Stockholm;0180;Enskild;Raoul Wallenbergskolorna AB;5566740113;48;85,4;~100;255,1
Sturebyskolan;91816093;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;118;85,6;91,5;255,1
Sidsjö Fristående Grundskola;21250086;Sundsvall;2281;Enskild;Sidsjö Fristående Grundskola AB;5567314595;52;94,2;100;255
Bäckaforsskolan;52464734;Uddevalla;1485;Enskild;Bäckaforsskolan i Ljungskile AB;5592912199;12;91,7;~100;254,8
Linnéskolan;63951601;Malmö;1280;Kommunal;Malmö kommun;2120001124;119;79;90,8;254,7
Klagshamnsskolan;21120076;Malmö;1280;Kommunal;Malmö kommun;2120001124;83;91,6;~100;254,5
Pilbäckskolan;85007077;Malmö;1280;Kommunal;Malmö kommun;2120001124;96;79,2;90,6;254,3
Kunskapsskolan Örebro;76018506;Örebro;1880;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;113;88,5;94,7;254,3
Björknässkolan;75834458;Nacka;0182;Kommunal;Nacka kommun;2120000167;80;78,8;~100;254,2
Brunns skola;42434583;Värmdö;0120;Kommunal;Värmdö kommun;2120000035;52;86,5;88,5;254,2
Alneskolan 5-9;38278821;Örnsköldsvik;2284;Kommunal;Örnsköldsviks kommun;2120002445;67;92,5;~100;254,2
Internationella Engelska Skolan Enskede;38935587;Stockholm;0180;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;144;77,1;100;254,1
Victoriaskolan;80678068;Göteborg;1480;Enskild;Tyska Skolan Göteborg Ek. För.;7696043608;52;84,6;90,4;254
Djupedalskolan 7-9;91978548;Härryda;1401;Kommunal;Härryda kommun;2120001264;81;87,7;93,8;254
Internationella Engelska skolan Hässelby;74482611;Stockholm;0180;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;95;75,8;93,7;254
Hannaskolan;13390547;Örebro;1880;Enskild;Stiftelsen Hannaskolan;8750023650;30;86,7;~100;254
Johannesskolan Norrkpg Kr Sk;57529996;Norrköping;0581;Enskild;Stiftelsen Agape Norrköping;8190009996;21;76,2;100;253,8
Björkhagens skola;43088454;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;105;78,1;87,6;253,7
Vittra Brotorp;43138370;Sundbyberg;0183;Enskild;Vittraskolorna AB;5564586716;28;85,7;~100;253,6
Alnöitskolan Sundsvall;57722644;Sundsvall;2281;Enskild;Skolalliansen i Sverige AB;5567497051;44;88,6;~100;253,5
Innovitaskolan Nyköping 2;90949432;Nyköping;0480;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;50;86;90;253,4
Sverigefinska skolan Sthlm;78508835;Stockholm;0180;Enskild;Sverigefinska skolan i Stockholm AB;5564823937;49;69,4;~100;253,4
Vaksalaskolan;28006480;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;60;83,3;~100;253,4
Bergaskolan;40035084;Malmö;1280;Kommunal;Malmö kommun;2120001124;140;78,6;88,6;253,3
Internationella Engelska Skolan Södertälje;29497099;Södertälje;0181;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;90;77,8;~100;253,3
Näsbyparksskolan;96330648;Täby;0160;Kommunal;Täby kommun;2120000118;114;79,8;85,1;253,3
Trädgårdsstadsskolan;58310322;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;89;85,4;~100;253,1
Källskolan 6-9;85796724;Upplands-Bro;0139;Enskild;Föreningen för Kristen Skola i Upplands-Bro;8132004659;23;60,9;~100;253,1
Ulriksdalsskolan;46706680;Solna;0184;Kommunal;Solna kommun;2120000183;84;82,1;91,7;252,9
Gullbrandstorpsskolan F-9;62072720;Halmstad;1380;Kommunal;Halmstads kommun;2120001215;70;80;88,6;252,5
Stora Hammars skola;24181728;Vellinge;1233;Kommunal;Vellinge kommun;2120001033;57;91,2;100;252,5
Sjöstadsskolan;15331669;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;112;82,1;88,4;252,4
Holstagårdsskolan;28754789;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;45;77,8;84,4;252,3
Martinskolan Söders waldorfskola;82854505;Stockholm;0180;Enskild;Stiftelsen Martinskolan Söders Waldorfskola;8020072644;16;75;~100;252,2
Friskolan Mosaik;65494903;Falun;2080;Enskild;Friskolan Mosaik i Falun ekonomisk förening;7696149751;24;83,3;~100;252,1
Södra skolan;13936858;Kalmar;0880;Enskild;Södra skolan i Kalmar AB;5566966031;76;92,1;~100;252,1
Aggarpsskolan 4-9;60641880;Svedala;1263;Kommunal;Svedala kommun;2120001074;124;91,9;95,2;252,1
