school_id,school_name,municipality,address,merit_value,school_type,latitude,longitude
92940771,Hedens skola 7-9,Öckerö,Heinövägen 89,223.8,Kommunal,57.69761519999999,11.6533393
57412559,Stadsparksskolan,Partille,Gamla Kronvägen 66B,223.7,Kommunal,57.74091749999999,12.1128477
63742407,Rosendalsskolan,Vallentuna,Ekebyvägen 2,223.7,Kommunal,59.5417751,18.0697879
39229061,Östra grundskolan,Huddinge,Österleden 13,223.6,Kommunal,59.216375,18.1508722
86851817,Östra skolan,Jokkmokk,Kyrkogatan 4,223.5,Kommunal,66.6038523,19.8435554
58680588,Tollarps skola H,Kristianstad,Borgargatan 13E,223.5,Kommunal,55.9310167,13.9663378
31658010,Tellusskolan Thea Linköping,Linköping,Kungsgatan 33,223.5,Enskild,58.4133984,15.6228347
83803124,Genarps skola,Lund,Bygatan 6,223.5,Kommunal,55.6000192,13.397179
67543412,Vittra Kronhusparken,Göteborg,Kronhusgatan 14,223.4,Enskild,57.70847709999999,11.9663675
16650439,Herrestorpskolan,Vellinge,Vattentornsgatan 10,223.4,Kommunal,55.4742016,13.0359431
82137009,Hovsjöskolan,Södertälje,Penselvägen 1,223.2,Kommunal,59.1757088,17.5989173
68602166,Hammarbyskolan Södra,Stockholm,Paternostervägen 18-22,223.1,Kommunal,59.2906073,18.0965095
47003034,Hallens Kyrkskola F-9,Åre,Högenvägen 40,223.1,Kommunal,63.1783721,14.0827945
96609581,Solbergaskolan,Gotland,Kung Magnus väg 4,223.0,Kommunal,57.6364078,18.2989773
60956248,Kunskapsskolan Landskrona,Landskrona,Enoch Thulins väg 1-3,222.8,Enskild,55.88467139999999,12.8417286
11909268,Johannaskolan Örebro Waldorfskola,Örebro,Glomman 94,222.8,Enskild,59.2435667,15.1927473
72066259,Fässbergsskolan,Mölndal,Fiskargatan 4,222.7,Kommunal,57.6565831,12.0010149
31975018,Prästamosseskolan,Skurup,Mariagatan 3,222.7,Kommunal,55.4748945,13.5026434
18790096,Helenaskolan,Skövde,Staketgatan 10,222.7,Kommunal,58.39218839999999,13.8499736
88176175,Vislandaskolan,Alvesta,Kungsgatan 1,222.6,Kommunal,56.7860463,14.4475027
50756758,Viskaforsskolan 7-9,Borås,Varbergsvägen 79,222.6,Kommunal,57.6357845,12.8588137
83627088,Ede skola F-6,Hudiksvall,Finngatan 2A,222.6,Kommunal,61.8053943,16.5513556
20104143,Örnässkolan 7-9,Luleå,Rödkallens väg 17,222.6,Kommunal,65.5804705,22.2041611
39117429,Linneaskolan,Umeå,Sönkmyrvägen 20,222.6,Kommunal,63.80505359999999,20.1898711
10982633,"Fridaskolan, Vänersborg",Vänersborg,Repslagarevägen 14,222.5,Enskild,58.3760133,12.3358449
36651204,Skansenskolan,Mörbylånga,Esplanaden 29,222.5,Kommunal,56.5239217,16.3842186
91030682,Parkskolan,Hallstahammar,Parkgatan 27,222.5,Kommunal,59.61923299999999,16.2310184
96533068,Lunds Waldorfskola,Lund,Hardeberga 361,222.4,Enskild,55.69356089999999,13.2963861
34246393,Sätilaskolan 7-9,Mark,Sethelius väg 3,222.4,Kommunal,57.5406032,12.4324161
65417636,Björkskolan,Skellefteå,Torsgatan 17 G,222.4,Enskild,64.75781359999999,20.9724205
21617136,Stora Högaskolan 7-9,Stenungsund,Lilla vägen 5,222.4,Kommunal,58.01079,11.8263124
24396451,Björnaskolan,Örnsköldsvik,Centralgatan 12,222.4,Kommunal,63.69228709999999,18.8607076
16688128,Innovitaskolan Helsingborg,Helsingborg,Prästgatan 21,222.4,Enskild,56.0445529,12.6980596
17315625,Hagaskolan 1,Norrköping,Hagagatan 28,222.3,Kommunal,58.5991632,16.1601562
86616046,Braås skola 4-9,Växjö,Betlehemsvägen 1,222.3,Kommunal,57.0659591,15.057664
34255565,Lysingskolan,Ödeshög,Skolgatan 2,222.3,Kommunal,58.2277874,14.6500251
49419497,Stenkulan 4-9,Lerum,Grönstensvägen 16,222.3,Kommunal,57.7928632,12.3115955
38539206,Röselidsskolan skolenhet B,Lerum,Röselidsvägen 5,222.3,Kommunal,57.8339984,12.3013153
16767324,Stenbackaskolan,Karlshamn,Stenbackavägen 10,222.2,Kommunal,56.2048217,14.8384054
84111198,Kapareskolan E-H,Kungsbacka,Håkullavägen 43,222.2,Kommunal,57.4144756,12.0127652
37796564,Akalla grundskola F-9,Stockholm,Mariehamnsgatan 3-5,222.2,Kommunal,59.41586479999999,17.9103935
40576389,Apladalsskolan,Värnamo,Ouchterlongygatan 9,222.1,Kommunal,57.1819472,14.0448217
49786332,Nyhemsskolan SO 2,Ängelholm,Gåsahalsvägen 20,222.1,Kommunal,56.2413751,12.8798951
48874671,Dammfriskolan,Malmö,Dammfrigången 9A,222.0,Kommunal,55.5917636,12.9810506
58185455,Artediskolan åk 7-9,Nordmaling,Stallgatan 14,222.0,Kommunal,63.56770950000001,19.5066245
84998800,Önstaskolan,Västerås,Daggrosgatan 2,222.0,Kommunal,59.64950330000001,16.5375409
67742754,Karsby International School,Botkyrka,Tomtbergavägen 370,221.9,Kommunal,59.24477419999999,17.8101451
83468631,Grosvadsskolan,Finspång,Grosvadsvägen 5,221.9,Kommunal,58.7142598,15.8083822
99408329,Rönnbyskolan,Västerås,Släggkastargatan 13,221.9,Kommunal,59.6470298,16.509714
62301442,Söndrebalgs skola SO 2,Ängelholm,Gånarpsvägen 650,221.8,Kommunal,56.3123282,12.9171225
69004747,Fryshuset Grundskola Husby,Stockholm,Lofotengatan 32-34,221.7,Enskild,59.41145869999999,17.9284704
36031993,Vällingbyskolan,Stockholm,Offerdalsgatan 1-9,221.7,Kommunal,59.3632532,17.881128
11043800,Bohusskolan,Ale,Skolvägen 12,221.6,Kommunal,57.84832729999999,12.0183179
56759222,Järvsö skola F-9,Ljusdal,Turistvägen 3,221.6,Kommunal,61.70918059999999,16.1637219
53191534,Linnéskolan 1,Älmhult,Västra Björkgatan 9,221.6,Kommunal,56.5588528,14.1419724
55252119,Albäcksskolan 1,Hultsfred,Skogsgatan 5,221.6,Kommunal,57.4852613,15.837943
51403955,Alléskolan skolenhet Ask,Lerum,Floda allé 8,221.5,Kommunal,57.8057675,12.3663159
75399786,Al-Salamahskolan,Malmö,Husievägen 17,221.5,Enskild,55.5791708,13.0730507
69564434,Landsbro skola 7-9,Vetlanda,Sävsjövägen 27,221.5,Kommunal,57.3725998,14.8928332
74582871,Hammarskolan,Surahammar,Västeråsleden 10,221.4,Kommunal,59.7023738,16.222723
24561769,Hemmestaskolan,Värmdö,Motionsvägen 4,221.4,Kommunal,59.3200164,18.4861792
72627865,Alviksskolan,Stockholm,Tranebergsvägen 73,221.3,Kommunal,59.33533449999999,17.9748344
82624830,Solskiftesskolan,Österåker,Solskiftesvägen 8,221.3,Kommunal,59.1239521,15.9872855
74064638,Gustav Adolfsskolan,Alingsås,Gustav Adolfsgatan 2,221.3,Kommunal,57.92981429999999,12.5274868
85013151,Ölmestadskolan,Gislaved,Ågatan 1,221.3,Kommunal,57.19197699999999,13.2841002
84285512,Parkskolan,Mönsterås,Torggatan 13,221.2,Kommunal,57.044081,16.4373188
26645758,Vasavångsskolan 7-9,Eslöv,Verkstadsvägen 3,221.1,Kommunal,55.83878180000001,13.3187016
